4a937b23-2335-4aa7-ad56-8179eab929bb	47057	Disabled   Admin    	Untrained 
c9d3b607-3c54-48bf-8abd-129851995d9a	47057	Authorised Operator 	Untrained 
2dd37335-3b4b-4c64-8ec1-91dd39e03f93	47057	Authorised Operator 	Untrained 
2f5b164d-c667-414d-9911-69ef85447ab8	47057	Authorised Operator 	Trained   
7f39e330-3981-4919-ab72-39953c872492	47057	Disabled   Admin    	Untrained 
7ff1607e-d3c0-4eef-b39c-1ac9cf9e3fae	47057	Authorised Operator 	Trained   
8ea6c829-336c-44d4-b7f5-af673b072760	47057	Authorised Admin    	Trained   
cad617c4-3be8-43a0-969d-3eec5d1df09a	47057	Authorised Admin    	Trained   
9f85cff9-a107-4409-a9a9-981a7c87e34c	47057	Disabled   Admin    	Trained   
4f69edcb-887e-4dc0-8666-7516d3e363d8	47057	Disabled   Operator 	Untrained 
cb7077d7-66c1-4b48-920b-5b88732e6fdb	47057	Authorised Operator 	Untrained 
e19f4b03-054e-4781-bda3-7dd2cbf855aa	47057	Disabled   Operator 	Trained   
af600a81-f6b8-4c82-8557-23722b5b483a	47057	Authorised Operator 	Untrained 
1d0cf49c-1cde-49fa-bf97-fdc92b61bb18	47057	Disabled   Operator 	Trained   
27a0e455-0776-4ef8-850b-ce6d3b7d8952	47057	Disabled   Operator 	Untrained 
c878bd8e-5810-48fa-8c80-2b641b1043fe	47057	Disabled   Operator 	Untrained 
7605c3d8-b554-4241-a505-bdd7fec5f724	47057	Authorised Operator 	Untrained 
1e201d58-b183-4042-a958-8a6b7eb41000	47057	Authorised Operator 	Trained   
79987b1f-e353-4a46-8cae-a21dfa944422	47057	Disabled   Admin    	Trained   
bc163709-1408-4c1d-abde-fe9648700f01	47057	Disabled   Operator 	Untrained 
c37ae49b-62ea-442b-bcaf-62df869f39d9	47057	Disabled   Admin    	Untrained 
918e8008-8afa-40e2-a5b1-4e2e7994e676	47057	Authorised Admin    	Trained   
b842aabc-17be-437c-944f-f0d5f305cf3c	47057	Disabled   Admin    	Trained   
1d293643-8a1c-44c4-9f09-9bea52a396e5	47057	Authorised Operator 	Untrained 
7b568118-3e4f-4273-88c8-337d46098307	47057	Disabled   Operator 	Untrained 
68922f20-7523-4ce8-a3fa-f6a67ffd7eb0	47057	Disabled   Admin    	Trained   
5614cd2f-14d2-4173-97aa-79ff4fe2b278	47057	Disabled   Admin    	Trained   
3f02a7de-5698-44f5-b426-9f1c61b0eec5	47057	Authorised Admin    	Trained   
cff8b749-064a-4c36-a3d8-964647cac331	47057	Disabled   Operator 	Untrained 
f3d545db-2d17-4fa9-9cd6-1fff0fe85621	47057	Authorised Admin    	Untrained 
a3af7fcb-8558-4fbc-995c-0f94034355e4	47057	Disabled   Admin    	Untrained 
517fece4-002f-4622-a15d-1af9ea5e2c26	47057	Disabled   Operator 	Trained   
1e1226ba-4e09-4f58-9f55-9cfa027350b9	47057	Authorised Admin    	Trained   
8b7b1abf-e7dd-4f06-9cf6-2c124f1e4dde	47057	Disabled   Admin    	Trained   
1ab3ff89-fb55-46bf-aaf0-522a24f1b559	47057	Disabled   Operator 	Untrained 
8075833b-2df0-43d1-8740-2d7204a8a324	47057	Authorised Admin    	Trained   
a73b9ef0-6dac-435c-95c2-084c571111c5	47057	Disabled   Operator 	Untrained 
ff175f42-e086-4e9b-a7c3-0aacf7897981	47057	Authorised Admin    	Trained   
c487baa7-e355-410c-b557-26267dfab28e	47057	Disabled   Operator 	Untrained 
effa9ee7-9490-4a66-bc52-e6ac9f1e6e74	47057	Disabled   Operator 	Untrained 
2429996a-3428-4779-ba55-0b3de1c57333	47057	Authorised Admin    	Trained   
300a069d-bf29-49cb-9e05-3fea1bc223c9	47057	Authorised Operator 	Untrained 
92257333-ec66-451a-acfa-a24286d29aae	47057	Authorised Admin    	Trained   
ce6c07e8-4eaa-4200-aed5-adeb2dd62cf6	47057	Disabled   Operator 	Trained   
5acfa6e7-55bb-4ffc-b76a-4a434fd16492	47057	Authorised Operator 	Untrained 
647ff69d-a488-4319-851d-bf6f29413c94	47057	Authorised Admin    	Untrained 
be23cad8-034b-4204-b9f2-9102dbd54dcf	47057	Authorised Admin    	Untrained 
402f41d1-5c96-49f5-ab7c-3072e7763f38	47057	Disabled   Admin    	Trained   
6494a7d6-686b-48f3-95a4-afc5df8c0ee6	47057	Authorised Admin    	Untrained 
0c35e93b-82c3-4085-bf0e-5f7ffca1e284	47057	Authorised Admin    	Untrained 
8769731d-6a12-4e98-ab69-85f9ea687cb3	47057	Authorised Admin    	Trained   
5e062d18-5df0-4151-b68b-5b688faa1fea	47057	Disabled   Operator 	Untrained 
3ce91e07-9093-4e6b-86ba-dd7c76dd95ff	47057	Disabled   Operator 	Trained   
74118d07-4aa8-488b-b457-c0cf4afbd99b	47057	Authorised Admin    	Trained   
41841f07-559e-465e-965a-18c635e92082	47057	Disabled   Admin    	Trained   
8d9fb206-cfa0-4376-8fd2-709a6bded544	47057	Disabled   Admin    	Untrained 
0826234f-c67b-4896-b303-50cac16b16d3	47057	Disabled   Operator 	Untrained 
b830c450-2914-414b-926c-5a20b2cca601	47057	Authorised Admin    	Trained   
904e1d95-a639-4a2f-bf5c-bbba0eb45562	47057	Disabled   Admin    	Trained   
32f385a3-7e25-43eb-a219-89dc36b0d338	47057	Authorised Operator 	Untrained 
62219dba-6808-4ada-8bf3-d754a4b5bd87	47057	Authorised Operator 	Trained   
177f9cc8-4979-4ea4-aaa3-0ea41d51fb1a	47057	Disabled   Operator 	Trained   
a86b99eb-ed54-4c20-b541-43bfab321518	47057	Disabled   Operator 	Untrained 
4c4d4135-8188-4e20-9620-b8329e3af2b2	47057	Authorised Operator 	Untrained 
25249a8d-af3b-44b0-bf0d-900ff747f3b7	47057	Authorised Admin    	Untrained 
e34d4278-2f7a-4a34-aec5-76e9a41b4ac5	47057	Authorised Admin    	Untrained 
4fb2296b-bdf1-4283-bdc1-f48d8a06b7ad	47057	Disabled   Admin    	Trained   
3bf865b2-f280-4b07-bb7d-c3c96a3608b0	47057	Authorised Admin    	Untrained 
a1107fc9-c085-4b4f-bef7-efde75ef5ad4	47057	Authorised Admin    	Untrained 
1559c049-503e-4035-89c0-99b0797f0b0b	47057	Authorised Operator 	Trained   
18471efc-dd42-4355-bd11-41d93c93f43d	47057	Disabled   Admin    	Trained   
6c370153-15f1-4b93-bafa-97a23273fec7	47057	Disabled   Admin    	Untrained 
5d39e2e5-a558-4628-ad93-866521b22ff6	47057	Authorised Operator 	Trained   
